Algoritmo,Vertices,Tempo Médio (s)
Exato,10,0.0004020288000901928
Exato,15,0.0008249841997894691
Exato,20,0.005817956200553453
Exato,25,0.03170231720032461
Exato,30,0.1514198385997588
Exato,35,1.9987465564005107
Exato,40,5.462877347599715
